city,thievery,rapeViolence,robbery,stealing,motor_stealing,drugs,car_stealing
台北市,91,11,5,2,156,954,18
新北市,121,6,9,10,453,1830,68
桃園市,38,0,2,1,479,1094,175
台中市,29,6,2,3,248,845,38
台南市,91,0,6,2,155,491,40
高雄市,36,6,6,16,360,713,99
基隆市,10,1,2,2,38,270,10
新竹市,13,3,0,0,119,124,37
嘉義市,3,5,0,0,11,91,9
新竹縣,16,2,3,3,85,237,83
苗栗縣,20,1,2,0,44,175,24
彰化縣,18,4,2,2,63,341,23
南投縣,25,4,1,0,54,202,8
雲林縣,31,1,2,2,46,201,15
嘉義縣,3,3,0,2,21,104,19
屏東縣,28,417,112,0,0,0,12
宜蘭縣,15,2,2,0,30,207,17
花蓮縣,13,3,2,0,21,149,4
台東縣,1,0,0,1,17,69,0
澎湖縣,3,1,0,0,2,10,1
