city,thievery,rapeViolence,robbery,stealing,motor_stealing,drugs,car_stealing
台北市,115,14,5,11,150,1075,12
新北市,146,12,16,14,639,2138,82
桃園市,65,6,5,9,683,1146,246
台中市,37,9,8,4,302,867,62
台南市,93,18,6,8,290,435,99
高雄市,17,4,8,19,473,939,154
基隆市,19,5,1,2,70,355,2
新竹市,24,5,1,0,86,102,29
嘉義市,3,2,1,0,23,133,27
新竹縣,29,1,3,2,79,176,81
苗栗縣,20,1,1,1,85,146,46
彰化縣,24,11,3,6,64,344,40
南投縣,26,1,2,1,88,179,23
雲林縣,32,1,3,1,64,240,26
嘉義縣,8,3,0,1,39,115,28
屏東縣,16,0,0,3,117,408,84
宜蘭縣,20,4,2,0,60,148,39
花蓮縣,22,3,1,0,27,194,17
台東縣,2,0,0,0,31,56,1
澎湖縣,8,1,0,0,7,12,0
