縣市,住宅竊盜,強制性交,強盜,搶奪,機車竊盜,毒品,汽車竊盜
台北市,121,15,12,8,169,1004,19
新北市,129,18,15,5,522,1934,85
桃園市,13,7,6,4,706,1131,191
台中市,37,6,2,5,272,822,61
台南市,79,11,8,6,261,461,26
高雄市,33,10,7,29,453,908,110
基隆市,8,3,2,0,46,339,9
新竹市,21,1,1,5,104,85,30
嘉義市,7,2,2,0,23,108,11
新竹縣,7,3,1,5,142,211,88
苗栗縣,17,2,2,0,65,140,16
彰化縣,11,4,2,1,72,312,19
南投縣,31,3,1,1,73,192,27
雲林縣,30,1,1,5,72,270,18
嘉義縣,7,2,0,0,22,121,15
屏東縣,9,5,4,5,133,519,35
宜蘭縣,21,1,0,1,41,184,16
花蓮縣,16,2,0,0,31,145,16
台東縣,2,0,0,0,34,85,0
澎湖縣,4,0,0,0,5,8,4
